title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Audi A3,142000.0,Audi,City,Hybrid Petrol,8.0,Automatic,1000.0,2023,2024-02-26,1,142.0,17750.0
Peugeot 3008,80000.0,Peugeot,SUV,Petrol,7.0,Automatic,169000.0,2020,2024-02-26,4,0.47337278106508873,11428.57142857143
Volkswagen Passat,85000.0,Volkswagen,Sedan,Diesel,6.0,Automatic,122000.0,2019,2024-02-26,5,0.6967213114754098,14166.666666666666
Cupra Formentor Hight-grade   2L,166500.0,Cupra,Pickup,Petrol,11.0,Automatic,31000.0,2022,2024-02-26,2,5.370967741935484,15136.363636363636
BMW Série 5 LUXYRY LINE,168000.0,BMW,Sedan,Petrol,10.0,Automatic,46000.0,2018,2024-02-26,6,3.652173913043478,16800.0
Volkswagen Passat,34500.0,Volkswagen,Sedan,Diesel,6.0,Manual,330000.0,2008,2024-02-26,16,0.10454545454545454,5750.0
Haval H6,77000.0,Haval,SUV,Petrol,9.0,Automatic,120000.0,2020,2024-02-26,4,0.6416666666666667,8555.555555555555
Peugeot 3008,85000.0,Peugeot,City,Petrol,9.0,Automatic,60000.0,2017,2024-02-26,7,1.4166666666666667,9444.444444444445
Hyundai Grand i10,39500.0,Hyundai,City,Petrol,5.0,Automatic,73000.0,2018,2024-02-26,6,0.541095890410959,7900.0
Mercedes-Benz GLA KIT AMG,212000.0,Mercedes,SUV,Petrol,9.0,Automatic,19000.0,2021,2024-02-26,3,11.157894736842104,23555.555555555555
MG GT,36500.0,MG,Sedan,Petrol,6.0,Manual,191000.0,2017,2024-02-26,7,0.19109947643979058,6083.333333333333
Jaguar E-Pace R-DYNAMIC,275000.0,Jaguar,Compact,Petrol,12.0,Automatic,30000.0,2021,2024-02-26,3,9.166666666666666,22916.666666666668
Ford Fiesta,27900.0,Ford,City,Petrol,5.0,Manual,184000.0,2011,2024-02-26,13,0.1516304347826087,5580.0
Porsche Cayenne V6 PACK NIGHT 3.6L,159000.0,Porsche,SUV,Petrol,21.0,Automatic,198000.0,2012,2024-02-26,12,0.803030303030303,7571.428571428572
Volkswagen Golf 6,39900.0,Volkswagen,City,Petrol,5.0,Manual,168000.0,2012,2024-02-26,12,0.2375,7980.0
KIA Rio 5p GT Line,65500.0,KIA,Compact,Petrol,5.0,Manual,17000.0,2021,2024-02-16,3,3.8529411764705883,13100.0
BMW Série 7 740I FACE-LIFT,55000.0,BMW,Sedan,Petrol,22.0,Automatic,220000.0,2008,2024-02-26,16,0.25,2500.0
Ford Ecosport Titanium +,74000.0,Ford,SUV,Petrol,7.0,Automatic,22000.0,2021,2024-02-16,3,3.3636363636363638,10571.42857142857
BMW Série 2 Active Tourer Pack M,82000.0,BMW,Minivan,Petrol,7.0,Automatic,140000.0,2015,2024-02-16,9,0.5857142857142857,11714.285714285714
Chevrolet Captiva AWD 7 places,73000.0,Chevrolet,SUV,Diesel,10.0,Automatic,160000.0,2016,2024-02-16,8,0.45625,7300.0
Suzuki Dzire,38500.0,Suzuki,Sedan,Petrol,5.0,Manual,114000.0,2021,2024-02-26,3,0.33771929824561403,7700.0
Volkswagen Passat,34000.0,Volkswagen,Sedan,Diesel,6.0,Manual,268000.0,2009,2024-02-26,15,0.12686567164179105,5666.666666666667
Toyota Prado,195000.0,Toyota,SUV,Petrol,11.0,Manual,50000.0,2014,2024-02-26,10,3.9,17727.272727272728
Mercedes-Benz CLA Buisness,93000.0,Mercedes,Sedan,Petrol,7.0,Automatic,100000.0,2016,2024-02-16,8,0.93,13285.714285714286
BMW Série 4 Coupé,110000.0,BMW,Coupe,Petrol,7.0,Automatic,78000.0,2017,2024-02-26,7,1.4102564102564104,15714.285714285714
Mercedes-Benz CLA,155000.0,Mercedes,Sedan,Petrol,7.0,Automatic,59000.0,2019,2024-02-26,5,2.6271186440677967,22142.85714285714
BMW Série 3,85000.0,BMW,Sedan,Petrol,7.0,Automatic,152000.0,2016,2024-02-26,8,0.5592105263157895,12142.857142857143
Mercedes-Benz Classe S KIT AMG  jantes 20’’,125500.0,Mercedes,Sedan,Petrol,18.0,Automatic,165000.0,201,2024-02-26,1823,0.7606060606060606,6972.222222222223
Nissan Juke,42000.0,Nissan,SUV,Petrol,7.0,Manual,160000.0,2014,2024-02-26,10,0.2625,6000.0
Mercedes-Benz GLC Coupé GLC 200 COUPE,440000.0,Mercedes,SUV,Hybrid Petrol,11.0,Automatic,101000.0,2023,2024-02-26,1,4.356435643564357,40000.0
Porsche Cayenne Coupé,445000.0,Porsche,SUV,Petrol,25.0,Automatic,67000.0,2020,2024-02-26,4,6.641791044776119,17800.0
BMW Série 1 Sport line,118000.0,BMW,Compact,Petrol,8.0,Automatic,80000.0,2020,2024-02-26,4,1.475,14750.0
BMW X1,88000.0,BMW,SUV,Petrol,7.0,Automatic,110000.0,2016,2024-02-26,8,0.8,12571.42857142857
Seat Leon,70000.0,Seat,City,Petrol,6.0,Manual,66000.0,2020,2024-02-26,4,1.0606060606060606,11666.666666666666
Land Rover Range Rover Evoque,115000.0,Land Rover,SUV,Petrol,15.0,Automatic,138000.0,2016,2024-02-26,8,0.8333333333333334,7666.666666666667
Volkswagen Golf 8,99900.0,Volkswagen,City,Petrol,6.0,Manual,40000.0,2021,2024-02-26,3,2.4975,16650.0
Volkswagen Golf 7,64000.0,Volkswagen,City,Petrol,6.0,Manual,142000.0,2018,2024-02-26,6,0.4507042253521127,10666.666666666666
Land Rover Range Rover Sport,245000.0,Land Rover,SUV,Diesel,15.0,Automatic,160000.0,2014,2024-02-26,10,1.53125,16333.333333333334
Audi Q5,98000.0,Audi,SUV,Diesel,10.0,Automatic,164000.0,2014,2024-02-26,10,0.5975609756097561,9800.0
