title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Volkswagen Tiguan Connect,0.12872628726287264,Volkswagen,SUV,Petrol,0.1282051282051282,Manual,0.16573056796076605,2019,2024-02-16,5,0.8677685950413223,11666.666666666666
BMW Série 2 Active Tourer,0.08807588075880758,BMW,Other,Petrol,0.07692307692307693,Automatic,0.15614126414422314,2016,2024-02-26,8,0.6578947368421053,10714.285714285714
Mercedes-Benz Classe C kit AMG,0.23712737127371272,Mercedes,Sedan,Hybrid Petrol,0.1794871794871795,Automatic,0.0492890216170306,2018,2024-02-26,6,5.138888888888889,16818.18181818182
Opel Antara,0.056910569105691054,Opel,SUV,Petrol,0.15384615384615383,Manual,0.11778404887805145,201,2024-02-26,1823,0.6046511627906976,5200.0
Mazda 3,0.09349593495934959,Mazda,Coupe,Petrol,0.051282051282051294,Automatic,0.08764623688320228,2020,2024-02-26,4,1.234375,13166.666666666666
Land Rover Range Rover Evoque,0.21680216802168023,Land Rover,SUV,Diesel,0.10256410256410256,Automatic,0.046549220526589774,2018,2024-02-26,6,5.0,21250.0
Hyundai Grand i10 High Grade,0.05352303523035231,Hyundai,City,Petrol,0.025641025641025633,Manual,0.01832926929504918,2021,2024-02-26,3,3.6940298507462686,9900.0
Hyundai Accent,0.02710027100271003,Hyundai,Sedan,Petrol,0.051282051282051294,Manual,0.3136798268445711,2012,2024-02-26,12,0.13100436681222707,5000.0
Volkswagen Golf 7 R-line,0.09214092140921408,Volkswagen,Utility,Petrol,0.025641025641025633,Automatic,0.17805967286774982,2017,2024-02-26,7,0.6,15600.0
Volkswagen Polo 7 Plus,0.026422764227642274,Volkswagen,City,Petrol,0.0,Manual,0.2835420148497219,2014,2024-02-26,10,0.14251207729468598,7375.0
Honda City,0.04878048780487805,Honda,Sedan,Petrol,0.07692307692307693,Automatic,0.15066166196334146,2017,2024-02-26,7,0.41818181818181815,6571.428571428572
Porsche Cayenne,0.1964769647696477,Porsche,SUV,Diesel,0.28205128205128205,Automatic,0.16436066741554564,2012,2024-02-26,12,1.2916666666666667,10333.333333333334
Ford Kuga Titanium,0.09485094850948508,Ford,SUV,Petrol,0.10256410256410256,Manual,0.13285295487547605,2019,2024-02-16,5,0.8247422680412371,10000.0
Haval H6 Luxury 1.5T,0.14498644986449866,Haval,SUV,Petrol,0.10256410256410256,Automatic,0.023260911257842683,2022,2024-02-26,2,6.882352941176471,14625.0
Mercedes-Benz CLA,0.1964769647696477,Mercedes,Other,Diesel,0.051282051282051294,Automatic,0.0821666347023206,2020,2024-02-26,4,2.5833333333333335,25833.333333333332
Volkswagen Golf 8 Style,0.15989159891598917,Volkswagen,Sedan,Hybrid Petrol,0.10256410256410256,Automatic,0.10271514288062686,2021,2024-02-15,3,1.7066666666666668,16000.0
BMW Série 5,0.22764227642276422,BMW,Sedan,Petrol,0.15384615384615383,Automatic,0.10271514288062686,2020,2024-02-26,4,2.3733333333333335,17800.0
Peugeot Boxer,0.013279132791327914,Peugeot,Utility,Diesel,0.07692307692307693,Manual,0.27408970108770103,2007,2024-02-26,17,0.09895052473763119,2828.5714285714284
Jaguar E-Pace R-DYNAMIC S,0.37940379403794033,Jaguar,SUV,Petrol,0.20512820512820515,Automatic,0.05065892216225102,2021,2024-02-26,3,7.837837837837838,24166.666666666668
Mahindra KUV 100,0.029810298102981032,Mahindra,SUV,Petrol,0.025641025641025633,Manual,0.0739472314309981,2019,2024-02-26,5,0.5925925925925926,6400.0
Mercedes-Benz Classe C AMG,0.13143631436314362,Mercedes,Sedan,Petrol,0.10256410256410256,Automatic,0.21504698758870106,2014,2024-02-26,10,0.6815286624203821,13375.0
KIA Rio 5p GX,0.06707317073170731,KIA,Compact,Petrol,0.025641025641025633,Manual,0.0164114085317406,2022,2024-02-26,2,4.958333333333333,11900.0
KIA Sportage Comfort BVA,0.0989159891598916,KIA,SUV,Petrol,0.10256410256410256,Automatic,0.17805967286774982,2018,2024-02-26,6,0.6384615384615384,10375.0
Mercedes-Benz Classe S,0.16124661246612468,Mercedes,Sedan,Petrol,0.6666666666666666,Automatic,0.13559275596591688,2009,2024-02-26,15,1.303030303030303,4300.0
Mini Countryman,0.06639566395663955,Mini,City,Petrol,0.051282051282051294,Manual,0.16436066741554564,2015,2024-02-26,9,0.49166666666666664,9833.333333333334
Alfa Romeo Mito,0.02506775067750678,Alfa Romeo,City,Diesel,0.025641025641025633,Manual,0.29176141812104445,201,2024-02-26,1823,0.13380281690140844,5700.0
Porsche Cayenne,0.09214092140921408,Porsche,SUV,Petrol,0.4358974358974359,Automatic,0.306830324118469,2008,2024-02-26,16,0.3482142857142857,3714.285714285714
Mahindra KUV 100 K8,0.03360433604336043,Mahindra,Coupe,Petrol,0.025641025641025633,Manual,0.02874051343872435,2020,2024-02-26,4,1.6571428571428573,6960.0
KIA Picanto,0.04336043360433604,KIA,City,Petrol,0.025641025641025633,Manual,0.12463355160415353,2021,2024-02-26,3,0.46153846153846156,8400.0
Mercedes-Benz Classe E business,0.17886178861788618,Mercedes,Sedan,Petrol,0.1282051282051282,Automatic,0.17805967286774982,2018,2024-02-26,6,1.0923076923076922,15777.777777777777
Nissan Juke,0.0440379403794038,Nissan,SUV,Petrol,0.051282051282051294,Manual,0.1438121592372394,2012,2024-02-26,12,0.40476190476190477,7083.333333333333
Ssangyong Rexton,0.037940379403794036,Ssangyong,SUV,Diesel,0.1794871794871795,Manual,0.2876517164853832,2009,2024-02-26,15,0.18095238095238095,3454.5454545454545
Ford Ecosport,0.07168021680216802,Ford,SUV,Petrol,0.07692307692307693,Automatic,0.12600345214937397,2019,2024-02-26,5,0.683695652173913,8985.714285714286
Peugeot 508,0.03373983739837399,Peugeot,Sedan,Diesel,0.051282051282051294,Automatic,0.3205293295706732,2011,2024-02-26,13,0.14914529914529914,5816.666666666667
Land Rover Discovery LR3 HSE,0.07994579945799457,Land Rover,SUV,Petrol,0.4871794871794872,Automatic,0.25340420285487275,2007,2024-02-26,17,0.372972972972973,3000.0
Hyundai Veloster,0.047289972899729,Hyundai,City,Petrol,0.10256410256410256,Automatic,0.19175867831995397,2016,2024-02-26,8,0.32071428571428573,5612.5
KIA Sportage,0.09471544715447154,KIA,City,Petrol,0.10256410256410256,Automatic,0.1602509657798844,2018,2024-02-26,6,0.6829059829059829,9987.5
BMW X3,0.08807588075880758,BMW,SUV,Petrol,0.1794871794871795,Automatic,0.29450121921148525,2014,2024-02-26,10,0.3488372093023256,6818.181818181818
Fiat Fiorino utilitaire,0.03523035230352304,Fiat,Utility,Diesel,0.025641025641025633,Manual,0.13833255705635772,2021,2024-02-26,3,0.3564356435643564,7200.0
Volkswagen Amarok,0.06097560975609757,Volkswagen,Pickup,Diesel,0.07692307692307693,Manual,0.3616263459272857,2012,2024-02-26,12,0.20833333333333334,7857.142857142857
Volkswagen Golf 7 smart line,0.07723577235772357,Smart,Coupe,Petrol,0.051282051282051294,Automatic,0.1301131537850352,2018,2024-02-26,6,0.7052631578947368,11166.666666666666
Volkswagen Golf 8 1er Édition,0.15311653116531165,Volkswagen,Compact,Petrol,0.10256410256410256,Manual,0.09586564015452477,2020,2024-02-26,4,1.7571428571428571,15375.0
Skoda Octavia comfort line,0.07723577235772357,Skoda,City,Petrol,0.10256410256410256,Automatic,0.14107235814679855,2018,2024-02-26,6,0.6504854368932039,8375.0
